AAR,BYDEL,ALDERSKAT,FORSIKRET,ARBLED,HFUDD,PERSONER
2012,1,1,1,1,1,17
2012,1,1,1,1,2,17
2012,1,1,1,1,3,6
2012,1,1,1,1,4,9
2012,1,1,1,1,5,14
2012,1,1,1,1,6,2
2012,1,1,1,2,1,7
2012,1,1,1,2,2,15
2012,1,1,1,2,3,7
2012,1,1,1,2,4,1
2012,1,1,1,2,5,4
2012,1,1,1,2,6,1
2012,1,1,1,3,1,1
2012,1,1,1,3,2,10
2012,1,1,1,3,3,3
2012,1,1,1,3,4,1
2012,1,1,1,4,2,1
2012,1,1,1,4,3,2
2012,1,1,1,4,4,3
2012,1,1,3,1,1,129
2012,1,1,3,1,2,4
2012,1,1,3,1,3,1
2012,1,1,3,1,4,1
2012,1,1,3,1,5,1
2012,1,1,3,2,1,26
2012,1,1,3,3,1,5
2012,1,1,3,4,1,1
2012,1,2,1,1,1,31
2012,1,2,1,1,2,22
2012,1,2,1,1,3,17
2012,1,2,1,1,4,89
2012,1,2,1,1,5,53
2012,1,2,1,1,6,127
2012,1,2,1,2,1,13
2012,1,2,1,2,2,22
2012,1,2,1,2,3,9
2012,1,2,1,2,4,31
2012,1,2,1,2,5,22
2012,1,2,1,2,6,86
2012,1,2,1,3,1,3
2012,1,2,1,3,2,4
2012,1,2,1,3,3,7
2012,1,2,1,3,4,18
2012,1,2,1,3,5,4
2012,1,2,1,3,6,26
2012,1,2,1,4,1,1
2012,1,2,1,4,2,5
2012,1,2,1,4,3,1
2012,1,2,1,4,4,3
2012,1,2,1,4,6,9
2012,1,2,1,5,1,1
2012,1,2,1,5,4,1
2012,1,2,1,5,6,4
2012,1,2,3,1,1,32
2012,1,2,3,1,2,4
2012,1,2,3,1,4,4
2012,1,2,3,1,5,2
2012,1,2,3,2,1,19
2012,1,2,3,2,2,2
2012,1,2,3,2,3,2
2012,1,2,3,2,6,1
2012,1,2,3,3,1,10
2012,1,2,3,3,2,1
2012,1,2,3,3,5,1
2012,1,2,3,4,1,2
2012,1,2,3,5,1,1
2012,1,2,3,5,2,1
2012,1,3,1,1,1,139
2012,1,3,1,1,2,131
2012,1,3,1,1,3,34
2012,1,3,1,1,4,155
2012,1,3,1,1,5,42
2012,1,3,1,1,6,275
2012,1,3,1,2,1,127
2012,1,3,1,2,2,82
2012,1,3,1,2,3,24
2012,1,3,1,2,4,110
2012,1,3,1,2,5,27
2012,1,3,1,2,6,196
2012,1,3,1,3,1,103
2012,1,3,1,3,2,62
2012,1,3,1,3,3,23
2012,1,3,1,3,4,81
2012,1,3,1,3,5,15
2012,1,3,1,3,6,176
2012,1,3,1,4,1,75
2012,1,3,1,4,2,50
2012,1,3,1,4,3,15
2012,1,3,1,4,4,40
2012,1,3,1,4,5,15
2012,1,3,1,4,6,132
2012,1,3,1,5,1,34
2012,1,3,1,5,2,22
2012,1,3,1,5,3,12
2012,1,3,1,5,4,22
2012,1,3,1,5,5,11
2012,1,3,1,5,6,57
2012,1,3,3,1,1,43
2012,1,3,3,1,2,9
2012,1,3,3,1,3,2
2012,1,3,3,1,4,4
2012,1,3,3,1,5,7
2012,1,3,3,1,6,6
2012,1,3,3,2,1,38
2012,1,3,3,2,2,8
2012,1,3,3,2,3,3
2012,1,3,3,2,4,3
2012,1,3,3,2,5,2
2012,1,3,3,2,6,3
2012,1,3,3,3,1,47
2012,1,3,3,3,2,12
2012,1,3,3,3,3,2
2012,1,3,3,3,4,3
2012,1,3,3,3,5,3
2012,1,3,3,3,6,2
2012,1,3,3,4,1,39
2012,1,3,3,4,2,11
2012,1,3,3,4,3,3
2012,1,3,3,4,4,4
2012,1,3,3,4,5,2
2012,1,3,3,4,6,3
2012,1,3,3,5,1,32
2012,1,3,3,5,2,9
2012,1,3,3,5,3,3
2012,1,3,3,5,4,6
2012,1,3,3,5,5,5
2012,1,3,3,5,6,4
2012,2,1,1,1,1,45
2012,2,1,1,1,2,55
2012,2,1,1,1,3,10
2012,2,1,1,1,4,18
2012,2,1,1,1,5,7
2012,2,1,1,1,6,2
2012,2,1,1,2,1,17
2012,2,1,1,2,2,32
2012,2,1,1,2,3,9
2012,2,1,1,2,4,9
2012,2,1,1,2,5,3
2012,2,1,1,2,6,3
2012,2,1,1,3,1,7
2012,2,1,1,3,2,9
2012,2,1,1,3,3,2
2012,2,1,1,3,5,1
2012,2,1,1,4,2,4
2012,2,1,1,4,3,3
2012,2,1,1,4,4,1
2012,2,1,1,5,2,3
2012,2,1,3,1,1,212
2012,2,1,3,1,2,8
2012,2,1,3,1,3,2
2012,2,1,3,2,1,63
2012,2,1,3,2,2,2
2012,2,1,3,2,4,1
2012,2,1,3,3,1,8
2012,2,1,3,4,1,2
2012,2,2,1,1,1,75
2012,2,2,1,1,2,74
2012,2,2,1,1,3,25
2012,2,2,1,1,4,154
2012,2,2,1,1,5,78
2012,2,2,1,1,6,256
2012,2,2,1,2,1,27
2012,2,2,1,2,2,33
2012,2,2,1,2,3,11
2012,2,2,1,2,4,53
2012,2,2,1,2,5,21
2012,2,2,1,2,6,146
2012,2,2,1,3,1,26
2012,2,2,1,3,2,25
2012,2,2,1,3,3,3
2012,2,2,1,3,4,22
2012,2,2,1,3,5,7
2012,2,2,1,3,6,52
2012,2,2,1,4,1,5
2012,2,2,1,4,2,8
2012,2,2,1,4,3,6
2012,2,2,1,4,4,5
2012,2,2,1,4,5,2
2012,2,2,1,4,6,20
2012,2,2,1,5,1,4
2012,2,2,1,5,2,4
2012,2,2,1,5,4,2
2012,2,2,1,5,5,1
2012,2,2,1,5,6,7
2012,2,2,3,1,1,75
2012,2,2,3,1,2,10
2012,2,2,3,1,3,3
2012,2,2,3,1,4,1
2012,2,2,3,1,5,4
2012,2,2,3,2,1,35
2012,2,2,3,2,2,7
2012,2,2,3,2,3,2
2012,2,2,3,2,4,1
2012,2,2,3,2,6,2
2012,2,2,3,3,1,19
2012,2,2,3,3,2,3
2012,2,2,3,3,5,1
2012,2,2,3,3,6,1
2012,2,2,3,4,1,5
2012,2,2,3,5,1,4
2012,2,2,3,5,2,1
2012,2,3,1,1,1,217
2012,2,3,1,1,2,208
2012,2,3,1,1,3,56
2012,2,3,1,1,4,233
2012,2,3,1,1,5,73
2012,2,3,1,1,6,400
2012,2,3,1,2,1,218
2012,2,3,1,2,2,170
2012,2,3,1,2,3,43
2012,2,3,1,2,4,141
2012,2,3,1,2,5,33
2012,2,3,1,2,6,294
2012,2,3,1,3,1,156
2012,2,3,1,3,2,134
2012,2,3,1,3,3,39
2012,2,3,1,3,4,112
2012,2,3,1,3,5,31
2012,2,3,1,3,6,217
2012,2,3,1,4,1,136
2012,2,3,1,4,2,101
2012,2,3,1,4,3,27
2012,2,3,1,4,4,79
2012,2,3,1,4,5,21
2012,2,3,1,4,6,170
2012,2,3,1,5,1,72
2012,2,3,1,5,2,63
2012,2,3,1,5,3,19
2012,2,3,1,5,4,38
2012,2,3,1,5,5,6
2012,2,3,1,5,6,80
2012,2,3,3,1,1,80
2012,2,3,3,1,2,33
2012,2,3,3,1,3,3
2012,2,3,3,1,4,8
2012,2,3,3,1,5,6
2012,2,3,3,1,6,9
2012,2,3,3,2,1,68
2012,2,3,3,2,2,18
2012,2,3,3,2,3,3
2012,2,3,3,2,4,5
2012,2,3,3,2,5,2
2012,2,3,3,2,6,5
2012,2,3,3,3,1,58
2012,2,3,3,3,2,15
2012,2,3,3,3,3,5
2012,2,3,3,3,4,6
2012,2,3,3,3,5,6
2012,2,3,3,3,6,4
2012,2,3,3,4,1,50
2012,2,3,3,4,2,22
2012,2,3,3,4,3,3
2012,2,3,3,4,4,4
2012,2,3,3,4,5,3
2012,2,3,3,4,6,3
2012,2,3,3,5,1,39
2012,2,3,3,5,2,15
2012,2,3,3,5,3,2
2012,2,3,3,5,4,6
2012,2,3,3,5,5,5
2012,2,3,3,5,6,4
2012,3,1,1,1,1,68
2012,3,1,1,1,2,63
2012,3,1,1,1,3,21
2012,3,1,1,1,4,27
2012,3,1,1,1,5,15
2012,3,1,1,1,6,5
2012,3,1,1,2,1,31
2012,3,1,1,2,2,52
2012,3,1,1,2,3,12
2012,3,1,1,2,4,14
2012,3,1,1,2,5,6
2012,3,1,1,2,6,4
2012,3,1,1,3,1,4
2012,3,1,1,3,2,22
2012,3,1,1,3,3,5
2012,3,1,1,3,4,2
2012,3,1,1,3,5,1
2012,3,1,1,4,1,3
2012,3,1,1,4,2,10
2012,3,1,1,4,4,2
2012,3,1,1,4,5,1
2012,3,1,1,5,1,1
2012,3,1,1,5,2,5
2012,3,1,1,5,3,1
2012,3,1,1,5,4,1
2012,3,1,3,1,1,455
2012,3,1,3,1,2,11
2012,3,1,3,1,3,2
2012,3,1,3,1,4,1
2012,3,1,3,1,5,1
2012,3,1,3,2,1,93
2012,3,1,3,2,2,2
2012,3,1,3,2,3,5
2012,3,1,3,3,1,18
2012,3,1,3,3,2,2
2012,3,1,3,4,1,11
2012,3,1,3,4,2,1
2012,3,1,3,5,1,3
2012,3,2,1,1,1,118
2012,3,2,1,1,2,136
