CIVILSTAND;TID;INDHOLD
Fraskilt;2008K1;428864
Fraskilt;2008K2;431550
Fraskilt;2008K3;432713
Fraskilt;2008K4;432156
Fraskilt;2009K1;434233
Fraskilt;2009K2;437466
Fraskilt;2009K3;439378
Fraskilt;2009K4;439428
Fraskilt;2010K1;441913
Fraskilt;2010K2;444765
Fraskilt;2010K3;446333
Fraskilt;2010K4;447258
Fraskilt;2011K1;449609
Fraskilt;2011K2;453640
Fraskilt;2011K3;455105
Fraskilt;2011K4;455846
Fraskilt;2012K1;458430
Fraskilt;2012K2;462738
Fraskilt;2012K3;465210
Fraskilt;2012K4;466356
Fraskilt;2013K1;468891
Fraskilt;2013K2;473292
Fraskilt;2013K3;476507
Fraskilt;2013K4;477056
Fraskilt;2014K1;486336
Fraskilt;2014K2;492909
Fraskilt;2014K3;497069
Fraskilt;2014K4;500795
Fraskilt;2015K1;504505
Fraskilt;2015K2;506621
Fraskilt;2015K3;509922
Fraskilt;2015K4;513060
Fraskilt;2016K1;516864
Fraskilt;2016K2;520775
Fraskilt;2016K3;525180
Fraskilt;2016K4;526340
Fraskilt;2017K1;529457
Fraskilt;2017K2;533905
Fraskilt;2017K3;534656
Fraskilt;2017K4;535372
Fraskilt;2018K1;537834
Fraskilt;2018K2;541010
Fraskilt;2018K3;541999
Fraskilt;2018K4;542280
Fraskilt;2019K1;545085
Fraskilt;2019K2;545597
Fraskilt;2019K3;544731
Fraskilt;2019K4;543846
Fraskilt;2020K1;544588
